x,y,z
2.0,-1.95,7.022390850411519e-6
2.1,-1.95,3.943644993695848e-6
2.2,-1.95,2.209990911114116e-6
2.3000000000000003,-1.95,1.2379129908411161e-6
2.4000000000000004,-1.95,6.938392408362334e-7
2.5,-1.95,3.8943948964035354e-7
2.6,-1.95,2.190593850782404e-7
2.7,-1.95,1.2361422751137945e-7
2.8000000000000003,-1.95,7.011578021063449e-8
2.9000000000000004,-1.95,4.0170527574200426e-8
3.0,-1.95,2.355407370152723e-8
3.1,-1.95,1.4641163345519176e-8
3.2,-1.95,1.0444970956450123e-8
3.3000000000000003,-1.95,9.577392378971813e-9
3.4000000000000004,-1.95,1.1763641440552629e-8
3.5,-1.95,1.773778694449161e-8
3.6,-1.95,2.9477358122555928e-8
3.7,-1.95,5.085000634129478e-8
3.8000000000000003,-1.95,8.888239540563238e-8
3.9000000000000004,-1.95,1.5606675961439015e-7
4.0,-1.95,2.744617025402977e-7
4.1000000000000005,-1.95,4.829330044384157e-7
4.2,-1.95,8.499109660326647e-7
-2.6,-1.9,6.51254652196595e-5
-2.5,-1.9,5.5855222600076216e-5
-2.4000000000000004,-1.9,4.8028538311042926e-5
-2.3000000000000003,-1.9,4.137880487443183e-5
-2.2,-1.9,3.570711763509301e-5
-2.1,-1.9,3.085683602057847e-5
-2.0,-1.9,2.6700648505582407e-5
-1.9000000000000001,-1.9,2.3133285204224804e-5
-1.8,-1.9,2.0066949523145847e-5
-1.7000000000000002,-1.9,1.7428213052749962e-5
-1.6,-1.9,1.5155853868488564e-5
-1.5,-1.9,1.3199481046726335e-5
-1.4000000000000001,-1.9,1.1519032365286135e-5
-1.3,-1.9,1.0085497735121455e-5
-1.2000000000000002,-1.9,8.883623504181451e-6
-1.1,-1.9,7.918032994341284e-6
-1.0,-1.9,7.225343224495022e-6
-0.9,-1.9,6.896649059271341e-6
-0.8,-1.9,7.117064375915114e-6
-0.7000000000000001,-1.9,8.230405164175697e-6
-0.6000000000000001,-1.9,1.083208909162055e-5
-0.5,-1.9,1.5867756525956212e-5
-0.4,-1.9,2.4647268134218126e-5
-0.30000000000000004,-1.9,3.8584314661175556e-5
-0.2,-1.9,5.849767318535795e-5
-0.1,-1.9,8.374958294995778e-5
0.0,-1.9,1.1210898248226731e-4
0.1,-1.9,1.4082294135972227e-4
0.2,-1.9,1.6796849292104087e-4
0.30000000000000004,-1.9,1.9291547599966746e-4
0.4,-1.9,2.1592481887167597e-4
0.5,-1.9,2.3755213866790044e-4
0.6000000000000001,-1.9,2.582238352983103e-4
0.7000000000000001,-1.9,2.7796611036846154e-4
0.8,-1.9,2.96135770460243e-4
0.9,-1.9,3.110182430997476e-4
1.0,-1.9,3.192799487235606e-4
1.1,-1.9,3.156590850356442e-4
1.2000000000000002,-1.9,2.941225400843276e-4
1.3,-1.9,2.51987185511914e-4
1.4000000000000001,-1.9,1.9503207043141603e-4
1.5,-1.9,1.363619409810819e-4
1.6,-1.9,8.766560623254838e-5
1.7000000000000002,-1.9,5.313608442326494e-5
1.8,-1.9,3.104795116352729e-5
1.9000000000000001,-1.9,1.776433342759665e-5
2.0,-1.9,1.0049452036201834e-5
2.1,-1.9,5.652772483656359e-6
2.2,-1.9,3.171819129874151e-6
2.3000000000000003,-1.9,1.7787166262386888e-6
2.4000000000000004,-1.9,9.981128599640385e-7
2.5,-1.9,5.609375290923604e-7
2.6,-1.9,3.1599663056591984e-7
2.7,-1.9,1.786455907467452e-7
2.8000000000000003,-1.9,1.0158841747593138e-7
2.9000000000000004,-1.9,5.844189378604337e-8
3.0,-1.9,3.454494879775329e-8
3.1,-1.9,2.1853392454957704e-8
3.2,-1.9,1.6143715538220812e-8
3.3000000000000003,-1.9,1.554674443460108e-8
3.4000000000000004,-1.9,1.9894658361717893e-8
3.5,-1.9,3.064758614353039e-8
3.6,-1.9,5.136520820515863e-8
3.7,-1.9,8.887264055309987e-8
3.8000000000000003,-1.9,1.5550044883471425e-7
3.9000000000000004,-1.9,2.731326274254449e-7
4.0,-1.9,4.803905410664108e-7
4.1000000000000005,-1.9,8.453104928850759e-7
4.2,-1.9,1.4876758555565506e-6
-2.6,-1.85,8.828812246834369e-5
-2.5,-1.85,7.562563464508126e-5
-2.4000000000000004,-1.85,6.496777827910504e-5
-2.3000000000000003,-1.85,5.592958582775416e-5
-2.2,-1.85,4.823047757686546e-5
-2.1,-1.85,4.1652677313586334e-5
-2.0,-1.85,3.602065026739235e-5
-1.9000000000000001,-1.85,3.118991022921191e-5
-1.8,-1.85,2.7040230899801868e-5
-1.7000000000000002,-1.85,2.347113371994834e-5
-1.6,-1.85,2.0398755641260935e-5
-1.5,-1.85,1.775377926202457e-5
-1.4000000000000001,-1.85,1.5480455589022543e-5
-1.3,-1.85,1.3537080368100893e-5
-1.2000000000000002,-1.85,1.1898753117914627e-5
-1.1,-1.85,1.0564025296896413e-5
-1.0,-1.85,9.568356697113887e-6
-0.9,-1.85,9.009392970085696e-6
-0.8,-1.85,9.091935673980212e-6
-0.7000000000000001,-1.85,1.0202785289428446e-5
-0.6000000000000001,-1.85,1.3021917558996517e-5
-0.5,-1.85,1.8651533120347667e-5
-0.4,-1.85,2.867156791388113e-5
-0.30000000000000004,-1.85,4.490581937418117e-5
-0.2,-1.85,6.865368233556347e-5
-0.1,-1.85,9.957021370205479e-5
0.0,-1.85,1.351992447921124e-4
0.1,-1.85,1.720367033975231e-4
0.2,-1.85,2.0731265570482873e-4
0.30000000000000004,-1.85,2.398742431998938e-4
0.4,-1.85,2.6985285999727696e-4
0.5,-1.85,2.9790625218867084e-4
0.6000000000000001,-1.85,3.246229626669247e-4
0.7000000000000001,-1.85,3.5014553393204734e-4
